TEAM_ID,TEAM_NAME,SEASON,Conference,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PTS,PLUS_MINUS
1610612748,Miami Heat,2010-11,East,21,14,7,0.6666666666666666,242.38095238095238,32.61904761904762,73.28571428571429,0.44509421702404156,5.904761904761905,17.857142857142858,0.33066666666666666,21.61904761904762,27.80952380952381,0.7773972602739726,10.142857142857142,30.904761904761905,41.04761904761905,16.476190476190474,13.857142857142858,7.285714285714286,6.0476190476190474,19.238095238095237,92.76190476190476,2.6666666666666665
1610612740,New Orleans Hornets,2010-11,West,6,2,4,0.3333333333333333,240.0,32.833333333333336,71.83333333333333,0.45707656612529,4.5,14.0,0.32142857142857145,19.166666666666668,25.833333333333332,0.7419354838709677,7.666666666666667,25.833333333333332,33.5,20.166666666666668,12.833333333333334,7.166666666666667,3.0,23.666666666666668,89.33333333333333,-7.166666666666667
1610612752,New York Knicks,2010-11,East,4,0,4,0.0,240.0,32.0,83.0,0.3855421686746988,8.25,23.75,0.3473684210526316,18.5,24.75,0.7474747474747475,14.5,26.0,40.5,16.75,15.25,6.5,6.75,18.75,90.75,-8.5
1610612760,Oklahoma City Thunder,2010-11,West,17,9,8,0.5294117647058824,247.35294117647058,35.294117647058826,79.70588235294117,0.44280442804428044,6.294117647058823,19.941176470588236,0.31563421828908556,25.58823529411765,31.352941176470587,0.8161350844277674,13.058823529411764,32.88235294117647,45.94117647058823,17.647058823529413,15.411764705882353,6.823529411764706,7.588235294117647,25.0,102.47058823529412,1.8823529411764706
1610612753,Orlando Magic,2010-11,East,6,2,4,0.3333333333333333,240.0,31.0,75.83333333333333,0.4087912087912088,6.166666666666667,23.5,0.2624113475177305,20.5,27.833333333333332,0.7365269461077845,11.833333333333334,30.5,42.333333333333336,14.5,12.833333333333334,6.5,4.0,21.5,88.66666666666667,1.8333333333333333
1610612755,Philadelphia 76ers,2010-11,East,5,1,4,0.2,240.0,33.8,81.6,0.41421568627450983,6.4,16.4,0.3902439024390244,12.6,17.4,0.7241379310344828,10.6,30.0,40.6,20.4,10.6,6.4,3.6,20.4,86.6,-7.4
1610612757,Portland Trail Blazers,2010-11,West,6,2,4,0.3333333333333333,240.0,33.166666666666664,73.16666666666667,0.4533029612756264,5.0,16.666666666666668,0.3,16.833333333333332,21.5,0.7829457364341085,9.166666666666666,28.5,37.666666666666664,17.0,11.5,5.666666666666667,5.166666666666667,20.833333333333332,88.16666666666667,-5.166666666666667
1610612759,San Antonio Spurs,2010-11,West,6,2,4,0.3333333333333333,244.16666666666666,33.666666666666664,77.16666666666667,0.43628509719222464,5.333333333333333,18.166666666666668,0.29357798165137616,21.666666666666668,28.5,0.7602339181286549,10.166666666666666,31.5,41.666666666666664,17.833333333333332,14.333333333333334,7.333333333333333,5.833333333333333,21.5,94.33333333333333,-3.1666666666666665
1610612737,Atlanta Hawks,2011-12,East,6,2,4,0.3333333333333333,244.16666666666666,31.833333333333332,79.33333333333333,0.4012605042016807,5.833333333333333,18.833333333333332,0.30973451327433627,12.666666666666666,16.166666666666668,0.7835051546391752,10.0,32.5,42.5,17.5,15.333333333333334,5.5,3.3333333333333335,19.833333333333332,82.16666666666667,-4.666666666666667
1610612738,Boston Celtics,2011-12,East,20,11,9,0.55,243.75,33.8,77.15,0.43810758263123784,4.65,16.3,0.2852760736196319,17.25,21.6,0.7986111111111112,7.95,31.9,39.85,19.8,13.0,8.2,4.9,21.65,89.5,1.0
